feature_set,classifier,run,number_of_features,train_accuracy,test_accuracy,fit_and_predict_seconds
Unlabeled simplets,Logistic regression,10,272,0.5666666666666667,0.24606946059349882,0.09562325477600098
Unlabeled simplets,Linear SVM,10,272,0.5465517241379311,0.24970931702138416,0.06810760498046875
Unlabeled simplets,SVM,10,272,0.6218390804597701,0.2720034376421819,5.603531360626221
Unlabeled simplets,KNN,10,272,0.8155172413793104,0.24708053182346695,2.337512969970703
Unlabeled simplets,Decision tree,10,272,0.8166666666666667,0.23927000657196298,0.10035991668701172
Shuffled-label simplets,Logistic regression,10,37,0.2557471264367816,0.18750315959759364,0.021521806716918945
Shuffled-label simplets,Linear SVM,10,37,0.2540229885057471,0.18414134775794955,0.021422147750854492
Shuffled-label simplets,SVM,10,37,0.2913793103448276,0.1897527930842728,2.3071932792663574
Shuffled-label simplets,KNN,10,37,0.2574712643678161,0.25585157474344067,2.5400502681732178
Shuffled-label simplets,Decision tree,10,37,0.2982758620689655,0.18540518679540974,0.01145482063293457
UniGCNII embeddings,Logistic regression,10,64,0.9097701149425287,0.9110004549820535,0.8931102752685547
UniGCNII embeddings,Linear SVM,10,64,0.9149425287356322,0.9118598655275264,0.16721415519714355
UniGCNII embeddings,SVM,10,64,0.9097701149425287,0.9091805267681108,2.1364214420318604
UniGCNII embeddings,KNN,10,64,0.9971264367816092,0.9010666801476164,0.3800959587097168
UniGCNII embeddings,Decision tree,10,64,0.9971264367816092,0.8637581517617916,0.07111215591430664
